"GEO_ID","NAME","B07009_001E","B07009_001M","B07009_002E","B07009_002M","B07009_003E","B07009_003M","B07009_004E","B07009_004M","B07009_005E","B07009_005M","B07009_006E","B07009_006M","B07009_007E","B07009_007M","B07009_008E","B07009_008M","B07009_009E","B07009_009M","B07009_010E","B07009_010M","B07009_011E","B07009_011M","B07009_012E","B07009_012M","B07009_013E","B07009_013M","B07009_014E","B07009_014M","B07009_015E","B07009_015M","B07009_016E","B07009_016M","B07009_017E","B07009_017M","B07009_018E","B07009_018M","B07009_019E","B07009_019M","B07009_020E","B07009_020M","B07009_021E","B07009_021M","B07009_022E","B07009_022M","B07009_023E","B07009_023M","B07009_024E","B07009_024M","B07009_025E","B07009_025M","B07009_026E","B07009_026M","B07009_027E","B07009_027M","B07009_028E","B07009_028M","B07009_029E","B07009_029M","B07009_030E","B07009_030M","B07009_031E","B07009_031M","B07009_032E","B07009_032M","B07009_033E","B07009_033M","B07009_034E","B07009_034M","B07009_035E","B07009_035M","B07009_036E","B07009_036M"
"1400000US10003011400","Census Tract 114, New Castle County, Delaware","2553","184","211","82","412","107","420","101","825","146","685","125","2319","189","189","79","360","112","365","98","742","150","663","124","117","64","2","7","40","45","10","13","65","54","0","11","9","15","0","11","0","11","9","15","0","11","0","11","88","60","0","11","12","19","36","38","18","21","22","34","20","30","20","30","0","11","0","11","0","11","0","11"
"1400000US10003012600","Census Tract 126, New Castle County, Delaware","2281","263","394","125","770","192","634","247","340","132","143","69","2227","263","386","122","769","192","616","247","313","125","143","69","47","50","8","15","1","4","11","21","27","29","0","11","0","11","0","11","0","11","0","11","0","11","0","11","7","12","0","11","0","11","7","12","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10003012700","Census Tract 127, New Castle County, Delaware","3333","249","462","187","1454","197","873","157","421","113","123","65","2967","239","427","184","1271","161","767","148","379","109","123","65","289","152","26","41","163","101","94","63","6","10","0","11","0","11","0","11","0","11","0","11","0","11","0","11","47","46","9","14","5","9","12","17","21","24","0","11","30","45","0","11","15","23","0","11","15","23","0","11"
"1400000US10003013608","Census Tract 136.08, New Castle County, Delaware","1342","93","69","33","401","109","398","91","265","73","209","67","1214","95","58","32","368","107","372","88","239","74","177","59","67","39","11","15","15","21","21","18","14","12","6","8","11","15","0","11","9","14","0","11","2","5","0","11","50","37","0","11","9","12","5","9","10","12","26","28","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10003013611","Census Tract 136.11, New Castle County, Delaware","3820","340","158","118","705","263","1336","320","906","203","715","208","3310","295","158","118","671","268","1014","242","877","198","590","188","211","115","0","16","34","42","78","83","29","33","70","72","0","16","0","16","0","16","0","16","0","16","0","16","287","207","0","16","0","16","244","174","0","16","43","69","12","21","0","16","0","16","0","16","0","16","12","21"
"1400000US10003001100","Census Tract 11, New Castle County, Delaware","2818","340","96","63","322","120","593","181","1059","300","748","229","2156","300","93","64","307","119","375","132","809","277","572","182","389","202","0","11","4","8","143","121","164","125","78","57","30","38","3","6","11","23","16","24","0","11","0","11","243","199","0","11","0","11","59","77","86","68","98","105","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10003002700","Census Tract 27, New Castle County, Delaware","1608","147","150","79","639","117","306","93","292","95","221","96","1377","132","129","72","581","122","287","92","238","94","142","71","102","54","15","24","34","22","5","8","15","12","33","41","5","7","0","11","0","11","0","11","5","7","0","11","124","50","6","9","24","25","14","16","34","26","46","28","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10003010400","Census Tract 104, New Castle County, Delaware","3366","219","84","49","999","240","914","184","746","192","623","152","3086","220","84","49","949","233","895","184","638","185","520","146","136","66","0","11","17","20","9","18","69","47","41","32","0","11","0","11","0","11","0","11","0","11","0","11","134","82","0","11","33","30","10","16","39","33","52","39","10","16","0","11","0","11","0","11","0","11","10","16"
"1400000US10003011204","Census Tract 112.04, New Castle County, Delaware","2656","166","126","66","734","123","591","143","646","126","559","134","2372","192","107","67","644","128","513","116","586","121","522","143","178","108","19","34","32","38","67","69","60","51","0","11","0","11","0","11","0","11","0","11","0","11","0","11","106","82","0","11","58","61","11","18","0","11","37","43","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10003011900","Census Tract 119, New Castle County, Delaware","2370","234","152","131","228","89","304","103","808","107","878","126","2138","206","80","52","197","85","268","99","744","114","849","127","163","125","72","111","23","36","20","18","34","33","14","16","12","20","0","11","0","11","0","11","5","8","7","12","39","36","0","11","0","11","16","26","15","16","8","12","18","28","0","11","8","13","0","11","10","15","0","11"
"1400000US10003013800","Census Tract 138, New Castle County, Delaware","4102","320","263","153","1479","232","1075","187","892","226","393","137","3526","319","236","149","1380","232","936","188","719","202","255","84","462","227","13","19","89","74","82","80","152","97","126","108","13","21","0","16","0","16","13","21","0","16","0","16","88","66","1","4","10","14","44","51","21","31","12","21","13","22","13","22","0","16","0","16","0","16","0","16"
"1400000US10003012500","Census Tract 125, New Castle County, Delaware","3285","283","517","212","1283","283","743","218","506","191","236","147","2936","279","415","234","1070","261","731","216","495","190","225","146","286","201","102","114","184","169","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","34","39","0","11","0","11","12","17","11","17","11","19","29","41","0","11","29","41","0","11","0","11","0","11"
"1400000US10003013100","Census Tract 131, New Castle County, Delaware","1804","148","254","88","767","145","538","116","180","66","65","37","1623","151","233","85","714","140","464","120","163","64","49","25","166","82","21","25","43","35","69","40","17","15","16","25","0","11","0","11","0","11","0","11","0","11","0","11","10","12","0","11","10","12","0","11","0","11","0","11","5","7","0","11","0","11","5","7","0","11","0","11"
"1400000US10003013300","Census Tract 133, New Castle County, Delaware","1299","100","97","39","482","107","361","71","251","73","108","55","1213","106","97","39","477","107","330","72","240","70","69","35","66","48","0","11","5","8","11","16","11","17","39","42","0","11","0","11","0","11","0","11","0","11","0","11","20","25","0","11","0","11","20","25","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10003014000","Census Tract 140, New Castle County, Delaware","3573","371","485","202","1207","319","809","228","687","222","385","144","3131","389","459","199","1031","319","616","193","672","222","353","141","201","146","11","17","99","86","62","95","15","25","14","23","38","52","0","16","0","16","38","52","0","16","0","16","196","134","15","23","77","71","93","106","0","16","11","20","7","11","0","16","0","16","0","16","0","16","7","11"
"1400000US10003014100","Census Tract 141, New Castle County, Delaware","2881","337","241","99","1417","312","829","253","314","106","80","46","2425","303","176","77","1135","290","757","206","277","100","80","46","292","117","59","65","136","73","60","64","37","40","0","11","10","14","0","11","10","14","0","11","0","11","0","11","154","94","6","9","136","93","12","21","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10003014403","Census Tract 144.03, New Castle County, Delaware","3172","275","270","138","469","179","727","237","718","143","988","219","2851","281","250","141","397","176","666","246","678","140","860","205","197","120","20","28","48","54","61","61","6","11","62","57","12","18","0","16","0","16","0","16","0","16","12","18","73","47","0","16","10","16","0","16","34","30","29","34","39","41","0","16","14","27","0","16","0","16","25","30"
"1400000US10003014803","Census Tract 148.03, New Castle County, Delaware","3125","281","260","86","804","203","702","198","795","158","564","156","2871","266","227","79","778","207","622","177","680","134","564","156","167","130","4","10","26","28","58","57","79","80","0","11","22","36","0","11","0","11","22","36","0","11","0","11","65","59","29","46","0","11","0","11","36","35","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10003015000","Census Tract 150, New Castle County, Delaware","3818","297","317","151","1743","358","993","357","462","186","303","177","3687","290","317","151","1624","370","993","357","462","186","291","177","131","102","0","16","119","99","0","16","0","16","12","23","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16"
"1400000US10003015900","Census Tract 159, New Castle County, Delaware","2680","302","281","114","1127","237","779","206","328","165","165","67","2568","287","281","114","1105","234","705","164","312","156","165","67","39","32","0","11","7","13","16","18","16","20","0","11","58","69","0","11","0","11","58","69","0","11","0","11","15","25","0","11","15","25","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10003016401","Census Tract 164.01, New Castle County, Delaware","4358","342","283","126","1704","369","870","189","841","209","660","225","4101","370","215","116","1596","357","858","189","785","197","647","225","145","126","42","57","90","111","0","16","0","16","13","24","0","16","0","16","0","16","0","16","0","16","0","16","112","89","26","41","18","31","12","19","56","56","0","16","0","16","0","16","0","16","0","16","0","16","0","16"
"1400000US10003013612","Census Tract 136.12, New Castle County, Delaware","4596","235","97","59","629","142","826","182","1436","215","1608","259","4175","281","79","46","560","137","734","177","1344","217","1458","277","318","167","13","17","62","51","79","75","77","63","87","71","3","9","0","16","0","16","3","9","0","16","0","16","51","39","5","13","7","12","10","16","15","20","14","22","49","77","0","16","0","16","0","16","0","16","49","77"
"1400000US10003014502","Census Tract 145.02, New Castle County, Delaware","736","216","38","33","93","51","216","104","161","72","228","134","580","170","36","32","69","39","192","102","113","64","170","83","109","89","2","4","24","33","19","31","22","25","42","62","5","10","0","16","0","16","5","10","0","16","0","16","26","24","0","16","0","16","0","16","10","15","16","18","16","26","0","16","0","16","0","16","16","26","0","16"
"1400000US10003014703","Census Tract 147.03, New Castle County, Delaware","3360","240","264","100","1361","232","816","162","656","183","263","103","2935","245","258","99","1202","227","658","141","582","180","235","102","271","90","6","10","97","69","103","61","50","39","15","22","0","11","0","11","0","11","0","11","0","11","0","11","119","68","0","11","35","32","55","56","24","29","5","9","35","44","0","11","27","42","0","11","0","11","8","11"
"1400000US10003015100","Census Tract 151, New Castle County, Delaware","2524","169","182","87","1019","167","861","172","221","85","241","91","2294","185","174","86","952","164","746","172","196","74","226","89","195","111","8","13","67","59","91","63","14","23","15","22","0","11","0","11","0","11","0","11","0","11","0","11","35","31","0","11","0","11","24","26","11","18","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10003016000","Census Tract 160, New Castle County, Delaware","1856","275","196","116","815","185","563","159","204","94","78","40","1672","279","196","116","729","190","490","142","179","91","78","40","157","84","0","11","86","59","46","51","25","28","0","11","0","11","0","11","0","11","0","11","0","11","0","11","27","32","0","11","0","11","27","32","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10005051005","Census Tract 510.05, Sussex County, Delaware","4404","294","233","67","1544","171","1482","247","657","109","488","89","3933","260","204","59","1391","171","1325","232","546","116","467","87","193","83","29","39","65","35","49","25","41","25","9","7","20","23","0","16","2","3","16","21","0","16","2","4","240","83","0","16","71","41","89","40","70","33","10","9","18","21","0","16","15","20","3","4","0","16","0","16"
"1400000US10005051006","Census Tract 510.06, Sussex County, Delaware","2915","187","147","75","936","150","811","131","597","120","424","116","2676","185","127","69","866","141","685","119","584","119","414","112","104","83","0","11","39","35","52","47","13","19","0","11","31","31","0","11","22","24","9","14","0","11","0","11","76","62","10","15","0","11","56","53","0","11","10","15","28","31","10","15","9","14","9","13","0","11","0","11"
"1400000US10005051007","Census Tract 510.07, Sussex County, Delaware","4429","383","159","63","1029","238","844","197","1412","219","985","217","3989","347","146","60","946","225","749","186","1328","219","820","198","154","124","0","16","0","16","17","29","26","33","111","105","60","58","0","16","16","26","15","24","14","22","15","22","226","147","13","22","67","56","63","52","44","44","39","45","0","16","0","16","0","16","0","16","0","16","0","16"
"1400000US10005051101","Census Tract 511.01, Sussex County, Delaware","765","102","28","33","79","28","155","41","289","51","214","41","674","87","2","5","67","26","141","40","261","47","203","39","18","13","0","11","0","11","6","6","12","9","0","11","2","3","0","11","0","11","0","11","2","3","0","11","71","39","26","33","12","10","8","9","14","11","11","10","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10005051102","Census Tract 511.02, Sussex County, Delaware","871","86","13","11","101","40","200","57","271","66","286","54","772","80","13","11","81","29","177","53","238","63","263","53","8","10","0","11","0","11","4","7","4","6","0","11","21","15","0","11","0","11","6","6","10","8","5","7","67","29","0","11","20","18","13","10","19","9","15","11","3","5","0","11","0","11","0","11","0","11","3","5"
"1400000US10005051103","Census Tract 511.03, Sussex County, Delaware","896","116","11","9","55","31","183","56","349","70","298","48","814","112","9","10","55","31","156","48","307","67","287","47","19","14","0","11","0","11","10","11","2","3","7","7","0","11","0","11","0","11","0","11","0","11","0","11","63","34","2","4","0","11","17","21","40","19","4","5","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10005051201","Census Tract 512.01, Sussex County, Delaware","1351","144","74","41","322","81","460","81","294","62","201","75","1196","145","66","39","290","75","412","80","259","58","169","73","68","51","8","12","19","24","26","25","5","8","10","12","4","8","0","11","0","11","0","11","4","8","0","11","83","47","0","11","13","13","22","25","26","26","22","17","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10005051202","Census Tract 512.02, Sussex County, Delaware","813","112","7","8","114","38","133","55","303","67","256","62","758","110","7","8","104","37","133","55","272","63","242","61","0","11","0","11","0","11","0","11","0","11","0","11","7","7","0","11","0","11","0","11","7","7","0","11","48","28","0","11","10","11","0","11","24","17","14","10","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10005051203","Census Tract 512.03, Sussex County, Delaware","616","58","8","9","125","44","170","36","163","37","150","45","553","65","8","9","122","44","160","36","145","35","118","37","5","8","0","11","0","11","1","4","1","3","3","4","6","9","0","11","0","11","0","11","3","5","3","4","52","21","0","11","3","4","9","7","14","8","26","18","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10005051204","Census Tract 512.04, Sussex County, Delaware","565","76","4","4","69","21","137","28","221","66","134","28","530","76","4","4","65","21","131","27","203","65","127","27","0","11","0","11","0","11","0","11","0","11","0","11","4","6","0","11","2","3","0","11","2","3","0","11","31","15","0","11","2","2","6","8","16","11","7","7","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10005051205","Census Tract 512.05, Sussex County, Delaware","647","111","16","11","140","51","160","34","206","47","125","37","616","110","16","11","140","51","148","32","195","49","117","36","2","4","0","11","0","11","2","4","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","29","13","0","11","0","11","10","9","11","10","8","6","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10005051305","Census Tract 513.05, Sussex County, Delaware","2495","190","119","49","829","151","804","138","501","105","242","90","2194","190","81","50","752","150","701","135","446","103","214","82","82","55","18","27","36","32","9","15","11","19","8","13","77","59","11","17","19","21","28","33","19","21","0","11","142","84","9","14","22","24","66","44","25","22","20","28","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10005051306","Census Tract 513.06, Sussex County, Delaware","2688","212","196","83","743","142","798","131","605","137","346","96","2410","228","178","78","636","134","709","128","541","139","346","96","38","36","0","11","18","20","20","23","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","231","108","18","28","80","56","69","53","64","36","0","11","9","14","0","11","9","14","0","11","0","11","0","11"
"1400000US10005990000","Census Tract 9900, Sussex County, Delaware","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10003010900","Census Tract 109, New Castle County, Delaware","1991","129","72","40","244","83","415","101","650","115","610","112","1851","122","72","40","219","83","394","100","617","109","549","106","73","62","0","11","0","11","0","11","22","29","51","54","0","11","0","11","0","11","0","11","0","11","0","11","67","55","0","11","25","29","21","33","11","15","10","14","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US10003012400","Census Tract 124, New Castle County, Delaware","2908","266","534","153","1320","234","623","155","255","100","176","80","2734","261","533","153","1203","239","591","150","255","100","152","77","148","85","0","11","105","73","32","37","0","11","11","17","0","11","0","11","0","11","0","11","0","11","0","11","26","30","1","2","12","19","0","11","0","11","13","22","0","11","0","11","0","11","0","11","0","11","0","11"
